Num,Raw
0,12.84
1,12.84
2,12.81
3,12.78
4,12.75
5,12.75
6,12.81
7,12.84
8,12.81
9,12.81
10,12.81
11,12.81
12,12.78
13,12.81
14,12.84
15,12.84
16,12.81
17,12.78
18,12.75
19,12.75
20,12.81
21,12.84
22,12.81
23,12.81
24,12.81
25,12.81
26,12.78
27,12.81
28,12.84
29,12.84
30,12.84
31,12.87
32,12.9
33,12.87
34,12.84
35,12.84
36,12.81
37,12.84
38,12.78
39,12.81
40,12.81
41,12.81
42,12.78
43,12.81
44,12.81
45,12.81
46,12.78
47,12.81
48,12.78
49,12.81
50,12.81
51,12.84
52,12.81
53,12.78
54,12.75
55,12.75
56,12.73
57,12.73
58,12.7
59,12.73
60,12.73
61,12.73
62,12.7
63,12.73
64,12.75
65,12.73
66,12.73
67,12.75
68,12.75
69,12.73
70,12.73
71,12.75
72,12.75
73,12.73
74,12.73
75,12.75
76,12.73
77,12.7
78,12.73
79,12.73
80,12.75
81,12.7
82,12.73
83,12.73
84,12.73
85,12.73
86,12.73
87,12.73
88,12.73
89,12.73
90,12.73
91,12.73
92,12.73
93,12.73
94,12.73
95,12.73
96,12.73
97,12.73
98,12.73
99,12.75
100,12.73
101,12.7
102,12.73
103,12.73
104,12.73
105,12.73
106,12.73
107,12.73
108,12.73
109,12.73
110,12.73
111,12.75
112,12.73
113,12.73
114,12.73
115,12.75
116,12.73
117,12.7
118,12.73
119,12.75
120,12.73
121,12.73
122,12.73
123,12.75
124,12.73
125,12.73
126,12.73
127,12.73
128,12.73
129,12.73
130,12.73
131,12.75
132,12.73
133,12.73
134,12.73
135,12.73
136,12.73
137,12.7
138,12.73
139,12.73
140,12.7
141,12.7
142,12.73
143,12.73
144,12.7
145,12.73
146,12.73
147,12.73
148,12.7
149,12.73
150,12.75
151,12.75
152,12.75
153,12.75
154,12.78
155,12.78
156,12.75
157,12.73
158,12.73
159,12.75
160,12.73
161,12.73
162,12.73
163,12.73
164,12.73
165,12.73
166,12.75
167,12.73
168,12.7
169,12.73
170,12.73
171,12.73
172,12.73
173,12.73
174,12.73
175,12.73
176,12.73
177,12.73
178,12.75
179,12.73
180,12.7
181,12.73
182,12.73
183,12.73
184,12.7
185,12.7
186,12.73
187,12.73
188,12.7
189,12.73
190,12.73
191,12.73
192,12.73
193,12.73
194,12.73
195,12.73
196,12.73
197,12.73
198,12.73
199,12.73
200,12.73
201,12.73
202,12.73
203,12.73
204,12.7
205,12.7
206,12.73
207,12.73
208,12.7
